ID Number,xx speckey,xx Scientific Name
CMNPYM10021,1134821,xxRuellia tuberosa
CMNPYM11622,1132502,xxBaccharis pilularis
CMNPYM04298,1130012,xxAnthoceros fusiformis
CMNPYM04297,1130012,xxAnthoceros fusiformis
CMNPYM04299,1130012,xxAnthoceros fusiformis
CMNPYM04300,1130013,xxAnthoceros husnoti
CMNPYM04314,1130016,xxAnthoceros punctatus
CMNPYM04295,1130016,xxAnthoceros punctatus
CMNPYM04312,1130016,xxAnthoceros punctatus
CMNPYM04307,1130016,xxAnthoceros punctatus
CMNPYM04306,1130016,xxAnthoceros punctatus
CMNPYM04308,1130016,xxAnthoceros punctatus
CMNPYM04309,1130016,xxAnthoceros punctatus
CMNPYM04310,1130016,xxAnthoceros punctatus
CMNPYM04311,1130016,xxAnthoceros punctatus
CMNPYM04313,1130016,xxAnthoceros punctatus
CMNPYM04315,1130016,xxAnthoceros punctatus
CMNPYM04316,1130016,xxAnthoceros punctatus
CMNPYM00414,1131085,xxRhynchospora alba
CMNPYM02361,1131085,xxRhynchospora alba
CMNPYM01496,1132830,xxArnica alpina
CMNPYM08788,1132831,xxArnica cordifolia
CMNPYM03374,1133556,xxGentiana glauca
CMNPYM06637,1133559,xxGentiana nivalis
CMNPYM04790,1133560,xxGentiana prostrata
CMNPYM10098,1133359,xxCalotropis procera
CMNPYM12398,1133363,xxCryptostegia grandiflora
CMNPYM04937,1133213,xxFuntumia elastica
CMNPYM00540,1133942,xxPlantago cordata
CMNPYM00536,1133943,xxPlantago eriopoda
CMNPYM11465,1133944,xxPlantago lanceolata
CMNPYM00566,1133944,xxPlantago lanceolata
CMNPYM00844,1133944,xxPlantago lanceolata
CMNPYM05283,1133947,xxPlantago ovata
CMNPYM00357,1133948,xxPlantago rugelii
CMNPYM00544,1133950,xxPlantago virginica
CMNPYM00109,1132743,xxVerbesina encelioides
CMNPYM08662,1132743,xxVerbesina encelioides
CMNPYM09293,1131900,xxAletris aurea
CMNPYM01506,1131049,xxCarex vaginata
CMNPYM03856,1131049,xxCarex vaginata
CMNPYM00960,1131059,xxEleocharis acicularis
CMNPYM03115,1131062,xxEriophorum angustifolium
CMNPYM03859,1131064,xxEriophorum russeolum
CMNPYM03137,1131067,xxFimbristylis dichotoma
CMNPYM04795,1133545,xxGentiana alba
CMNPYM00954,1133548,xxGentiana andrewsii
CMNPYM04796,1133548,xxGentiana andrewsii
CMNPYM03208,1133550,xxGentiana calycosa
CMNPYM00599,1131924,xxAsparagus officinalis
CMNPYM03103,1131924,xxAsparagus officinalis
CMNPYM00784,1132937,xxCampanula rotundifolia
CMNPYM00461,1132937,xxCampanula rotundifolia
CMNPYM08750,1132937,xxCampanula rotundifolia
CMNPYM01502,1132938,xxCampanula uniflora
CMNPYM02666,1132646,xxClibadium erosum
CMNPYM10944,1133568,xxGentianella amarella
CMNPYM03207,1133579,xxGentianella propinqua
CMNPYM03392,1133579,xxGentianella propinqua
CMNPYM11413,1131233,xxPanicum dichotomiflorum
CMNPYM07434,1131234,xxPanicum maximum
CMNPYM09876,1132355,xxGoodyera oblongifolia
CMNPYM09873,1132356,xxGoodyera pubescens
CMNPYM10625,1133966,xxConvolvulus althaeoides
CMNPYM00542,1133967,xxConvolvulus arvensis
CMNPYM12834,1133972,xxCuscuta campestris
CMNPYM03917,1133102,xxValeriana capitata
CMNPYM10403,1133105,xxValeriana officinalis
CMNPYM05268,1133107,xxValerianella dentata
CMNPYM01572,1139812,xxRanunculus pygmaeus
CMNPYM11470,1138822,xxCeltis occidentalis
CMNPYM08607,1138822,xxCeltis occidentalis
CMNPYM00646,1138822,xxCeltis occidentalis
CMNPYM00437,1138822,xxCeltis occidentalis
CMNPYM10818,1139184,xxLiriodendron tulipifera
CMNPYM01844,1139184,xxLiriodendron tulipifera
CMNPYM03094,1139184,xxLiriodendron tulipifera
CMNPYM03088,1139184,xxLiriodendron tulipifera
CMNPYM03484,1139184,xxLiriodendron tulipifera
CMNPYM00456,1142193,xxElaeagnus angustifolia
CMNPYM00438,1142194,xxElaeagnus commutata
CMNPYM08704,1142196,xxShepherdia argentea
CMNPYM00732,1142197,xxShepherdia canadensis
CMNPYM00439,1142197,xxShepherdia canadensis
CMNPYM08705,1142197,xxShepherdia canadensis
CMNPYM11613,1138877,xxBoehmeria cylindrica
CMNPYM09097,1138877,xxBoehmeria cylindrica
CMNPYM03298,1143944,xxLathyrus ochroleucus
CMNPYM03099,1143945,xxLathyrus palustris
CMNPYM00310,1143950,xxAstragalus alpinus
CMNPYM02425,1143950,xxAstragalus alpinus
CMNPYM03220,1143951,xxAstragalus vexilliflexus
CMNPYM08737,1140962,xxCordia alba
CMNPYM02678,1140966,xxCordia collococca
CMNPYM02931,1137985,xxSechium edule
CMNPYM08253,1140352,xxArgythamnia lanceolata
CMNPYM04441,1138276,xxAlnus glutinosa
CMNPYM12393,1138277,xxAlnus incana
CMNPYM12392,1138279,xxAlnus maritima
CMNPYM01320,1138282,xxAlnus rhombifolia
CMNPYM11477,1138283,xxAlnus rubra
CMNPYM11482,1138283,xxAlnus rubra
CMNPYM01313,1138283,xxAlnus rubra
CMNPYM12391,1138285,xxAlnus serrulata
CMNPYM13479,1138285,xxAlnus serrulata
CMNPYM06951,1138287,xxAlnus viridis
CMNPYM01319,1138291,xxBetula glandulosa
CMNPYM02415,1138291,xxBetula glandulosa
CMNPYM06949,1138296,xxBetula nigra
CMNPYM11474,1138297,xxBetula occidentalis
CMNPYM00145,1138298,xxBetula papyrifera
CMNPYM00603,1138298,xxBetula papyrifera
CMNPYM02335,1138298,xxBetula papyrifera
CMNPYM02368,1138298,xxBetula papyrifera
CMNPYM04438,1141096,xxLinum perenne
CMNPYM03527,1141096,xxLinum perenne
CMNPYM03105,1141098,xxLinum usitatissimum
CMNPYM11468,1138299,xxBetula populifolia
CMNPYM01499,1138299,xxBetula populifolia
CMNPYM01500,1138300,xxBetula pumila
CMNPYM02382,1138300,xxBetula pumila
CMNPYM03386,1143975,xxOxytropis huddelsonii
CMNPYM00485,1143977,xxRobinia pseudoacacia
CMNPYM03319,1143989,xxHedysarum boreale
CMNPYM03318,1143991,xxHedysarum sulphurescens
CMNPYM03123,1138326,xxCorylus cornuta
CMNPYM04159,1143014,xxGymnocladus dioicus
CMNPYM11476,1138669,xxJuglans cinerea
CMNPYM02344,1138669,xxJuglans cinerea
CMNPYM00418,1138669,xxJuglans cinerea
CMNPYM01833,1138669,xxJuglans cinerea
CMNPYM09175,1138116,xxPetalonyx nitidus
CMNPYM09176,1138117,xxPetalonyx thurberi
CMNPYM03267,1140752,xxGeranium bicknellii
CMNPYM07461,1140754,xxGeranium dissectum
CMNPYM03210,1140755,xxGeranium erianthum
CMNPYM07453,1140757,xxGeranium molle
CMNPYM07463,1140757,xxGeranium molle
CMNPYM11479,1138707,xxMyrica californica
CMNPYM01327,1138707,xxMyrica californica
CMNPYM01328,1138709,xxMyrica cerifera
CMNPYM01330,1138711,xxMyrica gale
CMNPYM12989,1138713,xxMyrica inodora
CMNPYM01329,1138717,xxMyrica pensylvanica
CMNPYM09227,1140882,xxAmsinckia intermedia
CMNPYM07652,1138100,xxFrankenia pulverulenta
CMNPYM07653,1138100,xxFrankenia pulverulenta
CMNPYM05458,1139766,xxClematis vitalba
CMNPYM05173,1139766,xxClematis vitalba
CMNPYM03376,1139775,xxDelphinium bicolor
CMNPYM10396,1141093,xxLinum catharticum
CMNPYM10364,1141093,xxLinum catharticum
CMNPYM09174,1138114,xxMentzelia involucrata
CMNPYM03363,1139738,xxAnemone drummondii
CMNPYM03310,1139741,xxAnemone multifida
CMNPYM03806,1139741,xxAnemone multifida
CMNPYM03888,1139741,xxAnemone multifida
CMNPYM03255,1139742,xxAnemone narcissiflora
CMNPYM02399,1139744,xxAnemone parviflora
CMNPYM03890,1139744,xxAnemone parviflora
CMNPYM00322,1139748,xxAnemone riparia
CMNPYM00486,1139750,xxAquilegia canadensis
CMNPYM00743,1139750,xxAquilegia canadensis
CMNPYM00427,1140731,xxImpatiens capensis
CMNPYM03253,1139751,xxAquilegia flavescens
CMNPYM03325,1139752,xxAquilegia formosa
CMNPYM01489,1139753,xxAquilegia vulgaris
CMNPYM00737,1139757,xxCaltha palustris
CMNPYM03893,1139814,xxRanunculus reptans
CMNPYM03258,1139819,xxThalictrum dasycarpum
CMNPYM11632,1139820,xxThalictrum dioicum
CMNPYM00968,1139825,xxThalictrum pubescens
CMNPYM01825,1138440,xxQuercus coccinea
CMNPYM10814,1138440,xxQuercus coccinea
CMNPYM09666,1138130,xxPassiflora foetida
CMNPYM11641,1138130,xxPassiflora foetida
CMNPYM06008,1138156,xxTamarix africana
CMNPYM06013,1138158,xxTamarix aphylla
CMNPYM06014,1138158,xxTamarix aphylla
CMNPYM06015,1138158,xxTamarix aphylla
CMNPYM06011,1138158,xxTamarix aphylla
CMNPYM06012,1138158,xxTamarix aphylla
