speckey,Scientific Name,Parent,Level Name,Author/Date
1138326,xxCorylus cornuta,1138319,SPECIES,Marsh
1143014,xxGymnocladus dioicus,1143012,SPECIES,(L.) Koch.
1138669,xxJuglans cinerea,1138663,SPECIES,Ehrenberg; L.
1138116,xxPetalonyx nitidus,1138115,SPECIES,
1138117,xxPetalonyx thurberi,1138115,SPECIES,
1140754,xxGeranium dissectum,1140751,SPECIES,L.
1140755,xxGeranium erianthum,1140751,SPECIES,DC.
1140757,xxGeranium molle,1140751,SPECIES,L.
1138707,xxMyrica californica,1138705,SPECIES,Cham.; Cham. & Schlecht.
1138709,xxMyrica cerifera,1138705,SPECIES,L.
1138711,xxMyrica gale,1138705,SPECIES,L.
1138713,xxMyrica inodora,1138705,SPECIES,Bartram
1138717,xxMyrica pensylvanica,1138705,SPECIES,
1140882,xxAmsinckia intermedia,1140880,SPECIES,
1138100,xxFrankenia pulverulenta,1138097,SPECIES,L.
1139766,xxClematis vitalba,1139761,SPECIES,L.
1139775,xxDelphinium bicolor,1139774,SPECIES,Nutt.
1141093,xxLinum catharticum,1141091,SPECIES,L.
1138114,xxMentzelia involucrata,1138112,SPECIES,
1139738,xxAnemone drummondii,1079706,SPECIES,S. Wats.
1139741,xxAnemone multifida,1079706,SPECIES,Poir.
1139744,xxAnemone parviflora,1079706,SPECIES,
1139748,xxAnemone riparia,1079706,SPECIES,Fernald
1139750,xxAquilegia canadensis,1139749,SPECIES,L.
1140731,xxImpatiens capensis,1140729,SPECIES,Meerb.
1139751,xxAquilegia flavescens,1139749,SPECIES,S. Wats.
1139752,xxAquilegia formosa,1139749,SPECIES,Fisch.
1139753,xxAquilegia vulgaris,1139749,SPECIES,L.
1139814,xxRanunculus reptans,1080044,SPECIES,
1139819,xxThalictrum dasycarpum,1139818,SPECIES,Fisch. & Ave-Lall.
1139820,xxThalictrum dioicum,1139818,SPECIES,L.
1139825,xxThalictrum pubescens,1139818,SPECIES,Pursh
1138440,xxQuercus coccinea,1080906,SPECIES,Muenchh.
1138156,xxTamarix africana,1138155,SPECIES,Poiret
1138158,xxTamarix aphylla,1138155,SPECIES,(L.) Karsten
1138159,xxTamarix aralensis,1138155,SPECIES,Bunge
1138160,xxTamarix gallica,1138155,SPECIES,L.
1141051,xxLantana camara,1141050,SPECIES,L.
1139781,xxDelphinium nuttallianum,1139774,SPECIES,Pritz.
1139804,xxRanunculus arvensis,1080044,SPECIES,L.
1139808,xxRanunculus lapponicus,1080044,SPECIES,
1139809,xxRanunculus nivalis,1080044,SPECIES,
1139810,xxRanunculus pedatifidus,1080044,SPECIES,Sm.
1138548,xxQuercus prinoides,1080906,SPECIES,Willdenow
1140909,xxLappula echinata,1140907,SPECIES,Gilib.
1140924,xxMyosotis arvensis,1140920,SPECIES,(L.) Hill.
1140926,xxMyosotis scorpioides,1140920,SPECIES,L.
1136416,xxEmpetrum nigrum,1136415,SPECIES,L.
1137520,xxSalix nigra,1137471,SPECIES,Marsh
1137522,xxSalix ovalifolia,1137471,SPECIES,Trautv.
1137523,xxSalix pedicellaris,1137471,SPECIES,Pursh
1137525,xxSalix pentandra,1137471,SPECIES,L.
1135830,xxEriogonum ovalifolium,1135826,SPECIES,Nutt.
1135839,xxRumex crispus,1083856,SPECIES,L.
1135840,xxRumex longifolius,1083856,SPECIES,DC.
1140845,xxMyriophyllum heterophyllum,1140840,SPECIES,Michaux
1140846,xxMyriophyllum humile,1140840,SPECIES,(Raf.) Morong.
1140852,xxMyriophyllum tenellum,1140840,SPECIES,
1137527,xxSalix planifolia,1137471,SPECIES,Pursh
1137528,xxSalix prolixa,1137471,SPECIES,Anderss.
1137530,xxSalix pyrifolia,1137471,SPECIES,Anderss.
1137531,xxSalix reticulata,1137471,SPECIES,L.
1137532,xxSalix scouleriana,1137471,SPECIES,Hooker
1137533,xxSalix sericea,1137471,SPECIES,Marsh
1137534,xxSalix serissima,1137471,SPECIES,(Bailey) Fern.
1135357,xxVeronica americana,1135354,SPECIES,(Raf.) Schw.
1140291,xxAcalypha indica,1140288,SPECIES,L.
1139724,xxActaea rubra,1139722,SPECIES,(Aiton) Willdenow
1135434,xxAmaranthus albus,1135433,SPECIES,L.
1135435,xxAmaranthus australis,1135433,SPECIES,(A. Gray) J.D. Sauer
1135810,xxPolygonum bistortoides,1083722,SPECIES,Pursh
1135811,xxPolygonum careyi,1083722,SPECIES,Olney
1135812,xxPolygonum cilinode,1083722,SPECIES,Michaux
1135814,xxPolygonum convolvulus,1083722,SPECIES,L.
1135815,xxPolygonum cuspidatum,1083722,SPECIES,Sieb. & Zucc.
1135816,xxPolygonum douglasii,1083722,SPECIES,Greene
1135819,xxPolygonum pensylvanicum,1083722,SPECIES,L.
1136506,xxAndromeda polifolia,1136503,SPECIES,L.
1135822,xxPolygonum scandens,1083722,SPECIES,L.
1135823,xxPolygonum tenue,1083722,SPECIES,Michaux
1136606,xxVaccinium vitis-idaea,1136597,SPECIES,L.
1136613,xxMonotropa hypopithys,1136612,SPECIES,L.
1136619,xxPterospora andromedea,1136618,SPECIES,Nutt.
1137535,xxSalix sitchensis,1137471,SPECIES,Sanson
1137538,xxSalix uva-ursi,1137471,SPECIES,Pursh
1139414,xxPapaver nudicaule,1080467,SPECIES,L.
