speckey,xxScientific Name,Taxonomic System
1138329,xxCorylus sp.,Botany
1138722,xxMyrica sp.,Botany
1138088,xxXylosma flexuosum,Botany
1138093,xxFouquieria,Botany
1138097,xxFrankenia,Botany
1138112,xxMentzelia,Botany
1138115,xxPetalonyx,Botany
1139743,xxAnemone narcissiflora interior,Botany
1139749,xxAquilegia,Botany
1139824,xxThalictrum polygamum,Botany
1141050,xxLantana,Botany
1140923,xxMyosotis alpestris asiaticae,Botany
1136417,xxEmpetrum rubrum,Botany
1135001,xxGomphostigma virgatum,Botany
1135780,xxArmeria maritima var. labradorica,Botany
1135834,xxOxyria digyma,Botany
1135841,xxRumex mexicanus,Botany
1135354,xxVeronica,Botany
1135372,xxAchatocarpaceae,Botany
1139721,xxAconitum delphinifolium delphinifolium,Botany
1139722,xxActaea,Botany
1136120,xxThlaspi,Botany
1138022,xxCasearia guianensis,Botany
1138025,xxCasearia sylvestris,Botany
1139906,xxPaxistima myrisiniter,Botany
1135805,xxPolygonum amphibium var. stipulaceum,Botany
1136612,xxMonotropa,Botany
1136618,xxPterospora,Botany
1137544,xxDrosera angelica,Botany
1139415,xxPapaver radicatum,Botany
1138186,xxGloeospermum sp.,Botany
1138187,xxHybanthus,Botany
1138209,xxViola epipsila repens,Botany
1139359,xxNymphaea,Botany
1138033,xxDovyalis,Botany
1138039,xxFlacourtia indica,Botany
1138044,xxHomalium,Botany
1138056,xxLaetia,Botany
1138059,xxLeatia procera,Botany
1138738,xxCannabis,Botany
1136623,xxChimaphila,Botany
1136626,xxMoneses,Botany
1136630,xxOrthilia secunda secunda,Botany
1136631,xxOrthilia secunda var. obtusata,Botany
1137933,xxCucumis dipsaceus,Botany
1137937,xxCucurbita foetidissima,Botany
1137938,xxCucurbita pepo,Botany
1137939,xxCucurbita sp.,Botany
1137950,xxElaterium,Botany
1137954,xxFrantzia,Botany
1135233,xxCalceolaria,Botany
1135974,xxBerteroa incana,Botany
1135985,xxBraya purpurascens,Botany
1137961,xxLagenaria siceraria,Botany
1135585,xxSilene acaulis var. subacaulescens,Botany
1135964,xxArabis glabra,Botany
1135968,xxArabis lyallii,Botany
1137690,xxTriadenum,Botany
1138215,xxViola pensylvanica,Botany
1138216,xxViola rugulosa,Botany
1138217,xxViola sp.,Botany
1135351,xxVerbascum,Botany
1135989,xxCapsella bursa,Botany
1136011,xxDentaria diphylla,Botany
1136012,xxDescurainia,Botany
1146714,xxTortula muralis,Botany
1146715,xxTortula sp.,Botany
1146730,xxRhytidium,Botany
1146476,xxDiscelium,Botany
1147131,xxPicea sonomensis,Botany
1147134,xxMetasequoia sp.,Botany
1147148,xxTaxus,Botany
1146751,xxSphagnum imbricatum,Botany
1147805,xxDicksonites sp.,Botany
1147809,xxTrichipteris corcovadensis,Botany
1147811,xxLophosoria,Botany
1144391,xxRubus acaulis,Botany
1144394,xxRubus chamaemoris,Botany
1144401,xxSanguisorba,Botany
1144411,xxSpiraea beauverdiana,Botany
1144413,xxSpiraea densiflora,Botany
1144417,xxSpiraea lucida,Botany
1144807,xxAcer negundo,Botany
1144808,xxAcer negundo var. negundo,Botany
1148641,xxPecopteris sp.,Botany
1146077,xxZizia,Botany
1146522,xxAnacamptodon,Botany
1146524,xxFabronia,Botany
1144439,xxMitella,Botany
1144155,xxRhynchosia tomentosa,Botany
1147245,xxGinkgo adiantoides,Botany
1147248,xxGinkgoites dissecta,Botany
