Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Bryophyte,CANM 308597,Pseudotaxiphyllum distacheum (Mitt.) Iwats.,previous scientific name,Pseudotaxiphyllum distichaceum
Bryophyte,CANM 109293,Fissidens decipiens,previous scientific name,Fissidens dubius
Bryophyte,CANM 109318,Fissidens decipiens,previous name,Fissidens dubius
Bryophyte,CANM 109296,Fissidens decipiens,original identification,Fissidens dubius
Bryophyte,CANM 109531,"Conomitrium julianum, Conomitrium hallianum",previous scientific name,Fissidens fontanus
Bryophyte,CANM 120903,Dicranum rugosum,previous name,Dicranum polysetum
Bryophyte,CANM 120911,Dicranum rugosum,previous name,Dicranum polysetum
Bryophyte,CANM 120940,Dicranum rugosum,item name,Dicranum polysetum
Bryophyte,CANM 109031,Fissidens pusillus,original identification,Fissidens minutulus
Bryophyte,CANM 274077,Conostomum tetragonus (Hedw.) Lindb.,previous scientific name,Conostomum tetragonum
Bryophyte,CANM 308733,Pseudotaxiphyllum distachaceum,previous scientific name,Pseudotaxiphyllum distichaceum
Bryophyte,CANM 295594,Barbula pagorum Milde,previous scientific name,Tortula pagorum
Bryophyte,CANM 304628,Barbula fallax var. reflexa,previous scientific name,Didymodon ferrugineus
Bryophyte,CANM 237179,Tetraplodon mnioides var. cavifolius Schimp.,,Aulacomnium palustre | Tetraplodon mnioides
Bryophyte,CANM 206488,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104945,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104944,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104940,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 297931,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104984,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium | Sphagnum magellanicum
Bryophyte,CANM 104909,Sphagnum recurvum var. tenue,previous name,Sphagnum angustifolium
Bryophyte,CANM 300986,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 301001,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 300981,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
