mkey,descriptor,term,note
27529,substrate,n/a,rochers
31684,substrate,n/a,Sur une couche de humus mince directement au-dessu
705240,substrate,n/a,on rock outcrop in woods
705242,substrate,n/a,in wet crevice
705244,substrate,n/a,damp shaded cliff
705245,substrate,n/a,boulder at cliff base
705246,substrate,n/a,grassy sward on slope
705247,substrate,n/a,exposed moist humus
705248,substrate,n/a,shaded area among dwarfted spruce at cliff base
705249,substrate,n/a,shaded humus at upper face of outcrop
705250,substrate,n/a,shaded bank
705251,substrate,n/a,on shaded moist humus
705252,substrate,n/a,on rocks
705253,substrate,n/a,on rocks in woods
705254,substrate,n/a,on rocks
705255,substrate,n/a,on rocks on the mountain
705256,substrate,n/a,on rocks in woods
705257,substrate,n/a,on rocks
705258,substrate,n/a,on rocks
705259,substrate,n/a,on rocks
705260,substrate,n/a,on soil of damp parts of lowland
705264,substrate,n/a,on boulder in woods
705265,substrate,n/a,on rotten log
705268,substrate,n/a,semi shaded moist humus
705269,substrate,n/a,on rock
705270,substrate,n/a,"humus, shaded cliff"
705271,substrate,n/a,on moss hummock of On moss hummock of open ledge.
705272,substrate,n/a,side of boulder
705275,substrate,n/a,on granite boulder climbing over mosses
705277,substrate,n/a,among boulders near stream
705278,substrate,n/a,outcrop top
705279,substrate,n/a,on rocks in a ravine
705280,substrate,n/a,on rocks
705281,substrate,n/a,on rocks in a ravine
705283,substrate,n/a,mixed in tufts with mosses
705284,substrate,n/a,on ground in white spruce stand
705293,substrate,n/a,in a peat bog
20784,substrate,n/a,In tufts on seepage slope.
20415,substrate,n/a,In hummock under boulder.
20421,substrate,n/a,Humus bank.
705300,substrate,n/a,humid slope
705301,substrate,n/a,peat bog
705302,substrate,n/a,in peat bogs
705303,substrate,n/a,peat bog
705313,substrate,n/a,on wet Cassiope hummock
705810,substrate,n/a,on rocks
705812,substrate,n/a,on rocks and earth
705813,substrate,n/a,on rocks and earth
705815,substrate,n/a,on rocks and earth
705819,substrate,n/a,on rock
705827,substrate,n/a,over humus on boulders
705832,substrate,n/a,Over boulder in creek
705841,substrate,n/a,on wet ground
705847,substrate,n/a,on boulder
705850,substrate,n/a,on rock
705852,substrate,n/a,ground
705853,substrate,n/a,humus
705855,substrate,n/a,partly submerged humus at margin of pool
705860,substrate,n/a,on moist soil among heather
705865,substrate,n/a,on rocks
705866,substrate,n/a,on rocks in woods
705867,substrate,n/a,on rocks
705869,substrate,n/a,on boggy soil
705878,substrate,n/a,on rocks
705880,substrate,n/a,on rocks
705889,substrate,n/a,on rocks
705891,substrate,n/a,on rocks
705900,substrate,n/a,on rocks & earth
705905,substrate,n/a,wet seepage area
705914,substrate,n/a,on rocks
705920,substrate,n/a,rocks
705926,substrate,n/a,"on shaded, slightly damp humic mineral soil"
705927,substrate,n/a,"on partly shaded, moist rock"
705930,substrate,n/a,on wet humus
705932,substrate,n/a,"on exposed, moist humus"
705937,substrate,n/a,on earth and rocks
705938,substrate,n/a,peat bog
705939,substrate,n/a,in peat bogs
705940,substrate,n/a,in bogs
705941,substrate,n/a,on wet ground beside stream
705944,substrate,n/a,on base of cliff
705950,substrate,n/a,"on ground, in moist depressions in meadow"
705952,substrate,n/a,on tree trunks
705957,substrate,n/a,On wet soil on mountain slope.
705961,substrate,n/a,rock exposed
705963,substrate,n/a,forest floor
705964,substrate,n/a,krummholz Abies floor
705967,substrate,n/a,on wet cliff
705968,substrate,n/a,on dry cliff
705973,substrate,n/a,seepage slope
705974,substrate,n/a,dry boulder in forest
705975,substrate,n/a,on rocks
705977,substrate,n/a,rotten log
705979,substrate,n/a,humus
705980,substrate,n/a,"shaly slope, scree"
705985,substrate,n/a,floor of spruce woods
705994,substrate,n/a,crevices in limestone boulder area
706001,substrate,n/a,floor of fir - spruce woods
706006,substrate,n/a,soil
706024,substrate,n/a,Wet ground under rotten log
706030,substrate,n/a,soil
706033,substrate,n/a,soil
706035,substrate,n/a,in hollow formed by uprooted spruce tree
706039,substrate,n/a,humus mat
706042,substrate,n/a,on rock bluff
706044,substrate,n/a,on soil over bluff
706049,substrate,n/a,on moist rock cliff
706051,substrate,n/a,on soil
706055,substrate,n/a,on boulder in woods
706062,substrate,n/a,in crevice of dry rock
706066,substrate,n/a,on forest floor
706070,substrate,n/a,on forest floor
706095,substrate,n/a,wet moss
706104,substrate,n/a,on humus over boulder
20636,substrate,n/a,on ground on slope beside bluff
706118,substrate,n/a,shaded rock on talus
706129,substrate,n/a,humus in clearing of birch forest
706130,substrate,n/a,mats in sheltered spots
706156,substrate,n/a,"on partly shaded, moist humus"
27181,substrate,n/a,Over boulder.
26913,substrate,n/a,In shade of talus boulder on south slope.
706160,substrate,n/a,semi-open cliff face
706162,substrate,n/a,shaded outcrop shelf
706163,substrate,n/a,semi-shaded moist rock
706166,substrate,n/a,on ground among mosses and lichens in closed fir woods
706189,substrate,n/a,amongst moss on rotten wood
706195,substrate,n/a,on earth
706198,substrate,n/a,on soil by stream
706202,substrate,n/a,on humus by stream
706204,substrate,n/a,In hummock near river.
