speckey,scientific_name,collection,rank,ancestors,catalog_count
1141111,Buchenavia capitata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | xxCombretaceae | Buchenavia,1
1087453,Bumelia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Ebenales | Sapotaceae,0
1136254,Bumelia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Ebenales | Sapotaceae,0
1114603,Burmannia capitata,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Liliidae | Orchidales | Burmanniaceae | Burmannia,1
1132253,Burmannia capitata,Botany,SPECIES,Plantae | Anthophyta | xxLiliatae | xxLiliidae | xxOrchidales | xxBurmanniaceae | Burmannia,1
1146132,Caesalpinioideae,Botany,SUBFAMILY,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae,0
1142892,Caesalpinioideae,Botany,SUBFAMILY,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae,0
1143743,Cajanus cajan,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Papilionoideae | Cajanus,2
1090736,Cajanus cajan,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Fabales | Fabaceae | Cajanus,2
1109101,Callisia fragrans,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Commelinales | Commelinaceae | Callisia,1
1130955,Callisia fragrans,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | xxCommelinales | xxCommelinaceae | Callisia,1
1079083,Calocedrus decurrens,Botany,SPECIES,Plantae | xxCupressaceae | Calocedrus,1
1146874,Calocedrus decurrens,Botany,SPECIES,Plantae | Coniferophyta | Coniferopsida | Coniferales | Cupressaceae | Calocedrus,1
1092905,Calylophus hartwegii,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | Onagraceae | Calylophus,0
1141698,Calylophus hartwegii,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | xxOnagraceae | Calylophus,0
1090755,Canavalia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Fabales | Fabaceae,0
1143748,Canavalia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Papilionoideae,0
1094866,Cardiospermum halicacabum,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | Sapindaceae | Cardiospermum,1
1145526,Cardiospermum halicacabum,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | Sapindaceae | Cardiospermum,1
1110166,Carex sychnocephala,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Cyperales | Cyperaceae | Carex,15
1193197,Carex sychnocephala,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Cyperales | Cyperaceae | Carex,0
1081408,Carpobrotus edulis,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Caryophyllidae | Caryophyllales | Aizoaceae | Carpobrotus,1
1135391,Carpobrotus edulis,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxCaryophyllidae | xxCaryophyllales | xxAizoaceae | Carpobrotus,1
1080832,Carya glabra,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Juglandales | Juglandaceae | Carya,24
1138642,Carya glabra,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxHamamelidae | xxJuglandales | xxJuglandaceae | Carya,24
1080837,Carya laciniosa,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Juglandales | Juglandaceae | Carya,12
1138644,Carya laciniosa,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxHamamelidae | xxJuglandales | xxJuglandaceae | Carya,12
1080845,Carya ovata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Juglandales | Juglandaceae | Carya,14
1138646,Carya ovata,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxHamamelidae | xxJuglandales | xxJuglandaceae | Carya,14
1139347,Castalia,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxMagnoliidae | xxNymphaeales | xxNymphaeaceae,0
1157196,Castalia,Zoology,GENUS,Animalia | Mollusca | Bivalvia | Paleoheterodonta | Unionoida | Etherioidea | Hyriidae,0
1138230,Casuarina,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxHamamelidae | xxCasuarinales | xxCasuarinaceae,0
1081204,Casuarina,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Casuarinales | Casuarinaceae,0
1130880,Catopsis,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Zingiberidae | Bromeliales | xxBromeliaceae,0
1113242,Catopsis,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Zingiberidae | Bromeliales | Bromeliaceae,0
1113244,Catopsis floribunda,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Zingiberidae | Bromeliales | Bromeliaceae | Catopsis,1
1130884,Catopsis floribunda,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Zingiberidae | Bromeliales | xxBromeliaceae | Catopsis,1
