ID Number,xx speckey,xx Scientific Name
CAN 502189,1078935,xxOsmunda regalis
CAN 540313,1078935,xxOsmunda regalis
CAN 527599,1078935,xxOsmunda regalis
CAN 528401,1078935,xxOsmunda regalis
CAN 530454,1078935,xxOsmunda regalis
CAN 530495,1078935,xxOsmunda regalis
CAN 530139,1078935,xxOsmunda regalis
CAN 542290,1078935,xxOsmunda regalis
CAN 5847,1079106,xxJuniperus communis
CAN 259043,1079106,xxJuniperus communis
CAN 259044,1079106,xxJuniperus communis
CAN 259045,1079106,xxJuniperus communis
CAN 259042,1079106,xxJuniperus communis
CAN 5888,1079106,xxJuniperus communis
CAN 48714,1079106,xxJuniperus communis
CAN 221727,1079106,xxJuniperus communis
CAN 221726,1079106,xxJuniperus communis
CAN 287199,1079106,xxJuniperus communis
CAN 259041,1079106,xxJuniperus communis
CAN 115348,1079106,xxJuniperus communis
CAN 115349,1079106,xxJuniperus communis
CAN 231188,1079106,xxJuniperus communis
CAN 203686,1079106,xxJuniperus communis
CAN 415058,1079106,xxJuniperus communis
CAN 415128,1079106,xxJuniperus communis
CAN 415090,1079106,xxJuniperus communis
CAN 328547,1079106,xxJuniperus communis
CAN 436919,1079106,xxJuniperus communis
CAN 444913,1079106,xxJuniperus communis
CAN 328543,1079106,xxJuniperus communis
CAN 347278,1079106,xxJuniperus communis
CAN 336357,1079106,xxJuniperus communis
CAN 336358,1079106,xxJuniperus communis
CAN 329697,1079106,xxJuniperus communis
CAN 325263,1079106,xxJuniperus communis
CAN 304704,1079106,xxJuniperus communis
CAN 362567,1079106,xxJuniperus communis
CAN 362568,1079106,xxJuniperus communis
CAN 362569,1079106,xxJuniperus communis
CAN 362570,1079106,xxJuniperus communis
CAN 362571,1079106,xxJuniperus communis
CAN 319088,1079106,xxJuniperus communis
CAN 366971,1079106,xxJuniperus communis
CAN 457285,1079106,xxJuniperus communis
CAN 436071,1079106,xxJuniperus communis
CAN 457126,1079106,xxJuniperus communis
CAN 457563,1079106,xxJuniperus communis
CAN 435915,1079106,xxJuniperus communis
CAN 475101,1079106,xxJuniperus communis
CAN 485785,1079106,xxJuniperus communis
CAN 487579,1079106,xxJuniperus communis
CAN 482466,1079106,xxJuniperus communis
CAN 475339,1079106,xxJuniperus communis
CAN 470310,1079106,xxJuniperus communis
CAN 435526,1079106,xxJuniperus communis
CAN 435523,1079106,xxJuniperus communis
CAN 446360,1079106,xxJuniperus communis
CAN 448061,1079106,xxJuniperus communis
CAN 521506,1079106,xxJuniperus communis
CAN 501094,1079106,xxJuniperus communis
CAN 523979,1079106,xxJuniperus communis
CAN 524002,1079106,xxJuniperus communis
CAN 524510,1079106,xxJuniperus communis
CAN 516980,1079106,xxJuniperus communis
CAN 516868,1079106,xxJuniperus communis
CAN 487833,1079106,xxJuniperus communis
CAN 528307,1079106,xxJuniperus communis
CAN 534725,1079106,xxJuniperus communis
CAN 526176,1079106,xxJuniperus communis
CAN 524646,1079106,xxJuniperus communis
CAN 542751,1079106,xxJuniperus communis
CAN 542682,1079106,xxJuniperus communis
CAN 542683,1079106,xxJuniperus communis
CAN 464539,1091941,xxOxytropis varians
CAN 464425,1091941,xxOxytropis varians
CAN 464437,1091941,xxOxytropis varians
CAN 464458,1091941,xxOxytropis varians
CAN 464545,1091941,xxOxytropis varians
CAN 489188,1091941,xxOxytropis varians
CAN 535858,1091941,xxOxytropis varians
CAN 476221,1100255,xxPlantago media
CAN 542764,1100255,xxPlantago media
CAN 542767,1100255,xxPlantago media
CAN 482746,1110544,xxEriophorum triste
CAN 496781,1110544,xxEriophorum triste
CAN 534104,1110544,xxEriophorum triste
CAN 550731,1110544,xxEriophorum triste
CAN 535073,1131162,xxCynosurus
CAN 535080,1131163,xxCynosurus cristatus
CAN 438977,1131165,xxDactylis glomerata
CAN 455234,1131165,xxDactylis glomerata
CAN 439335,1131165,xxDactylis glomerata
CAN 443305,1131165,xxDactylis glomerata
CAN 439819,1131165,xxDactylis glomerata
CAN 482011,1131165,xxDactylis glomerata
CAN 466038,1131165,xxDactylis glomerata
CAN 524412,1131165,xxDactylis glomerata
CAN 521728,1131165,xxDactylis glomerata
CAN 501110,1131165,xxDactylis glomerata
CAN 501711,1131165,xxDactylis glomerata
CAN 541007,1131165,xxDactylis glomerata
CAN 527350,1131165,xxDactylis glomerata
CAN 533780,1131165,xxDactylis glomerata
CAN 528416,1131165,xxDactylis glomerata
CAN 533600,1131165,xxDactylis glomerata
CAN 533617,1131165,xxDactylis glomerata
CAN 533635,1131165,xxDactylis glomerata
CAN 551572,1131165,xxDactylis glomerata
CAN 451214,1131198,xxHordeum jubatum
CAN 431316,1131198,xxHordeum jubatum
CAN 450730,1131198,xxHordeum jubatum
CAN 450697,1131198,xxHordeum jubatum
CAN 438485,1131198,xxHordeum jubatum
CAN 435368,1131198,xxHordeum jubatum
CAN 437671,1131198,xxHordeum jubatum
CAN 463543,1131198,xxHordeum jubatum
CAN 449414,1131198,xxHordeum jubatum
CAN 457552,1131198,xxHordeum jubatum
CAN 429632,1131198,xxHordeum jubatum
CAN 429732,1131198,xxHordeum jubatum
CAN 485769,1131198,xxHordeum jubatum
CAN 482516,1131198,xxHordeum jubatum
CAN 488078,1131198,xxHordeum jubatum
CAN 475293,1131198,xxHordeum jubatum
CAN 485586,1131198,xxHordeum jubatum
CAN 436571,1131198,xxHordeum jubatum
CAN 446451,1131198,xxHordeum jubatum
CAN 436869,1131198,xxHordeum jubatum
CAN 521801,1131198,xxHordeum jubatum
CAN 487469,1131198,xxHordeum jubatum
CAN 475799,1131198,xxHordeum jubatum
CAN 516695,1131198,xxHordeum jubatum
CAN 535041,1131198,xxHordeum jubatum
CAN 534677,1131198,xxHordeum jubatum
CAN 535226,1131198,xxHordeum jubatum
CAN 522472,1131198,xxHordeum jubatum
CAN 525877,1131198,xxHordeum jubatum
CAN 524129,1131198,xxHordeum jubatum
CAN 535099,1131198,xxHordeum jubatum
CAN 545765,1131207,xxKoeleria
CAN 533744,1131213,xxLolium
CAN 533643,1131213,xxLolium
CAN 533644,1131213,xxLolium
CAN 456227,1131214,xxLolium multiflorum
CAN 456237,1131214,xxLolium multiflorum
CAN 435805,1131214,xxLolium multiflorum
CAN 533712,1131214,xxLolium multiflorum
CAN 533748,1131214,xxLolium multiflorum
CAN 415215,1130107,xxScheuchzeria palustris
CAN 8345,1130107,xxScheuchzeria palustris
CAN 8344,1130107,xxScheuchzeria palustris
CAN 351287,1130107,xxScheuchzeria palustris
CAN 443320,1130107,xxScheuchzeria palustris
CAN 437327,1130107,xxScheuchzeria palustris
CAN 417969,1130107,xxScheuchzeria palustris
CAN 435365,1130107,xxScheuchzeria palustris
CAN 447599,1130107,xxScheuchzeria palustris
CAN 447426,1130107,xxScheuchzeria palustris
CAN 447789,1130107,xxScheuchzeria palustris
CAN 458356,1130107,xxScheuchzeria palustris
CAN 437011,1130107,xxScheuchzeria palustris
CAN 434593,1130107,xxScheuchzeria palustris
CAN 516750,1130107,xxScheuchzeria palustris
CAN 524221,1130107,xxScheuchzeria palustris
CAN 487904,1130107,xxScheuchzeria palustris
CAN 530258,1130107,xxScheuchzeria palustris
CAN 528763,1130107,xxScheuchzeria palustris
CAN 517604,1130107,xxScheuchzeria palustris
CAN 542497,1130107,xxScheuchzeria palustris
CAN 517610,1130107,xxScheuchzeria palustris
CAN 542636,1130107,xxScheuchzeria palustris
CAN 445917,1130218,xxArisaema triphyllum
CAN 457718,1130218,xxArisaema triphyllum
CAN 457077,1130218,xxArisaema triphyllum
CAN 438917,1130218,xxArisaema triphyllum
