speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1150422,Branta hutchinsii,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Branta,2,2,"{:nil=>0, :B=>2, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150423,Branta leucopsis,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Branta,6,4,"{:nil=>2, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1150424,Branta ruficollis,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Branta,2,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1167464,Branta sandvicensis,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Branta,1,0,
1123989,Cygnus cygnus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,1,0,
1150426,Cygnus atratus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,4,2,"{:nil=>1, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150427,Cygnus buccinator,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,143,60,"{:nil=>35, :B=>0, :E=>4, :S=>17, :T=>2, :Z=>2}"
1150428,Cygnus columbianus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,116,75,"{:nil=>46, :B=>1, :E=>4, :S=>22, :T=>1, :Z=>1}"
1150429,Cygnus melancoryphus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,1,0,
1151013,Buteo nitidus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,1,0,
1151015,Buteo augur,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,2,0,
1151016,Buteo buteo,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,11,0,
1151017,Buteo buteo vulpinus,,subspecies,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo; Buteo buteo,1,0,
1151018,Buteo jamaicensis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,258,253,"{:nil=>191, :B=>1, :E=>19, :S=>32, :T=>8, :Z=>2}"
1151019,Buteo lagopus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,142,142,"{:nil=>106, :B=>3, :E=>21, :S=>8, :T=>3, :Z=>1}"
1151020,Buteo lineatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,98,96,"{:nil=>55, :B=>1, :E=>36, :S=>2, :T=>2, :Z=>0}"
1151022,Buteo platypterus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,156,154,"{:nil=>106, :B=>2, :E=>24, :S=>18, :T=>4, :Z=>0}"
1151023,Buteo regalis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,40,40,"{:nil=>29, :B=>1, :E=>9, :S=>0, :T=>1, :Z=>0}"
1151024,Buteo swainsoni,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Buteo,88,88,"{:nil=>72, :B=>1, :E=>10, :S=>2, :T=>3, :Z=>0}"
1195744,Tadorna cana,"(Gmelin, 1789)",species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Tadorna,2,0,
1195748,Alopochen aegyptiaca,"(Linnaeus, 1766)",species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Alopochen,1,0,
1124076,Camptorhynchus labradorius,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Camptorhynchus,3,3,"{:nil=>0, :B=>0, :E=>0, :S=>0, :T=>3, :Z=>0}"
1195687,Melanitta deglandi,"(Bonaparte, 1850)",species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Melanitta,6,0,
1150389,Melanitta fusca,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Melanitta,147,128,"{:nil=>92, :B=>2, :E=>1, :S=>28, :T=>3, :Z=>2}"
1150390,Melanitta americana,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Melanitta,78,73,"{:nil=>47, :B=>2, :E=>0, :S=>21, :T=>3, :Z=>0}"
1150391,Melanitta perspicillata,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Melanitta,149,139,"{:nil=>106, :B=>3, :E=>3, :S=>25, :T=>2, :Z=>0}"
1195118,Melanitta nigra,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Melanitta,5,0,
1150393,Mergus merganser,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Mergus,262,250,"{:nil=>128, :B=>4, :E=>5, :S=>103, :T=>5, :Z=>5}"
1195834,Rollulus rouloul,"(Scopoli, 1786)",species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Rollulus,1,0,
1167459,Tetrastes bonasia,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Tetrastes,3,0,
1151151,Lyrurus tetrix,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Lyrurus,7,0,
1151136,Bonasa umbellus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Bonasa,740,727,"{:nil=>610, :B=>4, :E=>17, :S=>82, :T=>10, :Z=>4}"
1166056,Bonasa umbellus labradorensis,"Ouellet, 1990",subspecies,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Bonasa; Bonasa umbellus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151138,Centrocercus urophasianus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Centrocercus,34,33,"{:nil=>26, :B=>1, :E=>3, :S=>0, :T=>3, :Z=>0}"
1151140,Dendragapus obscurus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Dendragapus,177,174,"{:nil=>161, :B=>1, :E=>4, :S=>8, :T=>0, :Z=>0}"
1166057,Dendragapus obscurus flemingi,"Taverner, 1914",subspecies,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Tetraoninae; Dendragapus; Dendragapus obscurus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150357,Anas platyrhynchos,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,339,247,"{:nil=>172, :B=>2, :E=>25, :S=>39, :T=>7, :Z=>2}"
1150359,Anas platyrhynchos × rubripes,,hybrid,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,11,11,"{:nil=>8, :B=>1, :E=>0, :S=>2, :T=>0, :Z=>0}"
1150360,Anas querquedula,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,2,0,
1150361,Anas rubripes,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,244,217,"{:nil=>157, :B=>3, :E=>8, :S=>40, :T=>8, :Z=>1}"
1150362,Anas specularioides,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,1,0,
1150363,Anas strepera,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,50,45,"{:nil=>20, :B=>1, :E=>14, :S=>6, :T=>4, :Z=>0}"
1167475,Anas specularis,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,1,0,
1167476,Anas undulata,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anatinae; Anas,7,0,
