id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNAR 28553,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"FRC 15927, 15928, 15929","Cook, Francis R.","North America: Canada, Ontario, Leeds and Grenville United Co.",1986-04-02,,,1986-042,"Hales Pond, 1.7 kilometres west & 0.4 kilometre south of Bishops Mills","",44.869444,-75.722222,,Amphibian and Reptile Collection
CMNAR 28656,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","L'Arrivée, Louis","North America: Canada, Manitoba",1986-08-04,,,1986-178,Approximately 6 kilometres east of La Broquerie,"",49.5,-96.5,,Amphibian and Reptile Collection
CMNAR 2869,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Gorham, Stanley W.","North America: Canada, Québec",1954-04-21,,,1954-110,Gleneagle,"",45.533333,-75.8,,
CMNAR 2892,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Bleakney, J. Sherman; Cook, Francis R.","North America: Canada, Ontario",1954-06-16,,,1954-103,2.5 mi. N. of Dunrobin,"",45.45,-76.0,,
CMNAR 29771,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Vogg, Adolf","North America: Canada, Ontario, Lanark Co. (ON)",1987-03-28,,,1987-223,"2.2 km. W. & 0.2 km. N. of centre of dam, Madawaska River, Arnprior","",45.419722,-76.376667,,
CMNAR 2979,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,6,,"","Bleakney, J. Sherman; Cook, Francis R.","North America: Canada, Ontario",1954-08-05,,,1954-103,"Mud pond near ""Y"" camp, Dunrobin","",45.395833,-75.940278,,
CMNAR 29830,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,7,,"","Cook, Francis R.; Cook, Thomas W.","North America: Canada, Ontario, Leeds and Grenville United Co.",1987-04-18,,,1987-228,"Hale's Pond, 1.7 km. W. & 0.4 km. S. of Bishops Mills","",44.869444,-75.722222,,
CMNAR 30127,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Cook, Francis R.","North America: Canada, Ontario, Leeds and Grenville United Co., Bert's Pond",1973-04-14,,,1974-286,"Bert's Pond, 2.2 kilometres west & 0.5 kilometre south of Bishops Mills","",44.868056,-75.729167,,Amphibian and Reptile Collection
CMNAR 30152,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Cook, Francis R.","North America: Canada, Ontario, Leeds and Grenville United Co., NW of Bishops Mills",1973-07-01,,,1974-286,"Earl Fitzgerald's field, 2.7 kilometres north & 1.2 kilometres west of Bishops Mills","",44.896944,-75.732778,,Amphibian and Reptile Collection
CMNAR 30197,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,2,,"","Cook, Francis R.","North America: Canada, Ontario, Leeds and Grenville United Co., Bert's Pond",1975-04-14,,,1975-300,"Bert's Pond, 2.2 kilometres west & 0.5 kilometre south of Bishops Mills","",44.868056,-75.729167,,Amphibian and Reptile Collection
CMNAR 30199,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Cook, Francis R.","North America: Canada, Ontario, Leeds and Grenville United Co., Bert's Pond",1975-04-23,,,1975-300,"Bert's Pond, 2.2 kilometres west & 0.5 kilometre south of Bishops Mills","",44.868056,-75.729167,,Amphibian and Reptile Collection
