emu_module,emu_column,type,kind,lookup_parent,lookup_name,lookup_level,reference_module,reference_column,reference_link,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinForeignAmount_tab,dtText,dkTable,,,,,,,The amount of the cost concerned(in foreign currency). [Note: this is a text field to allow for different currency symbols.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinInsurance,dtText,dkAtom,,,,einsurance,SummaryData,FinInsuranceRef,Summary of insurance details (linked to Insurance module).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinInsuranceRef,dtInteger,dkAtom,,,,einsurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,FinTotalCost,dtCurrency,dkAtom,,,,,,,The total of all costs listed on the Finance tab (automatically calculated).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,irn,dtInteger,dkKey,,,,,,,Internal Record Number. This is a unique number assigned automatically by EMu to each and every record in every module.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotArcticMaterial,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCollection_tab,dtText,dkTable,,Collection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCollectionEvent,dtText,dkAtom,,,,ecollectionevents,SummaryData,LotCollectionEventRef,Collection event associated with the accession lot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCollectionEventRef,dtInteger,dkAtom,,,,ecollectionevents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCollector_tab,dtText,dkTable,,,,eparties,SummaryData,LotCollectorRef_tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCollectorRef_tab,dtInteger,dkTable,,,,eparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCondition,dtText,dkAtom,,Acquisition Condition,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotCountries_tab,dtText,dkTable,,Countries,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,LotDateCollectedVerbatim,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
